L0	149700
L0k	11200
L0f	108000
L0a	44800
L0a1	26800
L0a2	25400
L1	140600
L1b	9700
L1c	85400
L5	120200
L2	89300
L2a	48300
L2a1	21500
L2b	14300
L2c	25200
L3	71600
L3b	16400
L3d	31000
L3h	66700
L3e	39000
L3i	34800
L3x	36100
L3f	53200
M	55000
M (South Asia)	49400
M (East Asia)	60600
M1	25400
M1a	21000
M1b	20900
M2	37600
M2a	20300
M2b	12800
M3	35300
M4	36500
M18	22200
M38	16800
M30	22300
M37	34700
M5	39600
M5a	21500
M6	21300
M33	44900
M34	29800
M35	39600
M36	36500
M39	32300
M40	33500
M41	6400
D	48300
D4	27000
D1	13500
D4a	15500
D4a1	6300
D4a2	10500
D4a3	13000
D4a4	12300
D4b	25800
D4b1	20100
D4b2	18600
D4c	22500
D4c1	19600
D4c2	2300
D4e	22900
D4e1	19300
D4e2	4900
D4f	3300
D4g	25300
D4g1	3700
D4g2	21100
D4h	18100
D4i	17000
D4j	14200
D4k	6300
D4l	8700
D4m	3900
D4n	7400
D4o	17200
D5	38300
D5ab	34900
D5a	23800
D5a1	7600
D5a2	11500
D5b	21700
D5b1	16000
D5c	5100
D6	29300
M7	54800
M7a	27500
M7a1	18900
M7a1a	11800
M7a2	21200
M7b	28700
M7b2	6400
M7b3	13400
M7c	24000
M7c1	20600
M7c3	16800
M8	42700
M8a	25900
M8a1	2900
M8a2	18300
C	28300
C1	17100
C1a	13900
C1b	14500
C1c	9000
C4	17700
Z	24300
Z1	17800
Z2	3700
Z4	14800
M9	53400
E	27400
E1	14000
E1a	10000
E1a1a	7200
E1b	6300
E2	9900
E2a	6900
E2b	6600
M9ab	33400
M9a	15400
M9a1	4600
M9a2	4100
M9a3	6100
M10	27200
M11	22700
G	35700
G1	22500
G1a	19000
G2	30400
G2a	17700
G3	29200
G3a	20900
G3b	14400
M13	12400
N	63800
N (West Eurasia)	61900
N (South Asia)	71200
N (East Asia)	58200
X	31800
X1	9500
X2	20900
X2a	12800
X2b	14600
X2c	7000
W	21200
W1	17600
W2	18900
N1	54200
I	26300
N1b	21100
A	29200
A2	13300
A5	20300
A5a	7600
A5b	13900
A5c	6200
N9	49100
Y	22300
Y1	13200
Y2	5000
N9a	19700
N9a1	4700
N9a3	8900
N9a2	10100
N9a4	6000
N9a5	7400
N9b	29100
N9b1	16800
N9b2	18400
N9b3	8800
R	60000
R (West Eurasia)	59100
R (South Asia)	66600
R (East Asia)	54300
R0	38800
R0a	13300
HV	27100
HV1	17000
HV0	19300
HV0b	16600
HV0a	15600
V	13600
H	18600
H1	12200
H2	11700
H3	11800
H4	12500
H5	11500
H6	15300
H7	15500
H8	10600
H13	17500
H14	14500
H15	14000
U	54000
U1	36900
U1a	22200
U5	36000
U5a	26900
U5a1	18200
U5a2	22000
U5b	27400
U5b1	24000
U5b2	22400
U5b3	4300
U6	35900
U6a	27700
U6b	13100
U6d	14900
U6c	11000
U2	53500
U2a	27500
U2b	34300
U2c	34800
U2e	16700
U3	40700
U3a	22900
U3b	27000
U4	20900
U9	25500
U7	21800
U8	50200
U8a	24900
U8b	34900
K	31400
K1	26700
K1a	20500
K1b	25000
K1c	19500
K2	25700
K2a	14100
R1	13500
R2	54700
JT	50300
J	32600
J1	24100
J1a	11800
J1b	11300
J1b1	7200
J2	23500
J2b	10500
T	26800
T1	14700
T1a	7800
T2	18100
T2b	8400
R5	37500
R5a	19100
R6	51100
R7	35600
R8	42100
R8a	20200
R30	64000
R31	64500
B	50700
B4	44200
B4a	25800
B4a1	24200
B4a1a	10400
B4a1b	6200
B4a1c	20000
B4a2	18300
B4bd	39000
B4b	27700
B4b1	27500
B4b1a	24300
B4b1b	3900
B2	14600
B4d	28700
